test-4,"At the trial, Pisciotta said: ``Those who have made promises to us are called Bernardo Mattarella, Prince Alliata, the monarchist MP Marchesano and also Signor Scelba, Minister for Home Affairs ... it was Marchesano, Prince Alliata and Bernardo Mattarella who ordered the massacre of Portella di Ginestra. Before the massacre they met Giuliano...'' However the MPs Mattarella, Alliata and Marchesano were declared innocent by the Court of Appeal of Palermo, at a trial which dealt with their alleged role in the event. During his trial Pisciotta could not account for Giuliano's documents in which he named the high-ranking government officials and mafiosi involved with Giuliano's band.",his,526,Alliata,377,False,Pisciotta,536,True,http://en.wikipedia.org/wiki/Gaspare_Pisciotta
test-5,"It is about a pair of United States Navy shore patrollers (SPs) (Tom Berenger and William McNamara) who must escort a beautiful prisoner (Erika Eleniak), and the troubles they encounter. Eddie Devane (William McNamara) is a young sailor who has carried out a number of inventory-related scams along with his partner-in-crime Howard (Crispin Glover) and made a lot of money during his service. A day before his discharge, Eddie is assigned to escort a prisoner from the Marine base at Camp Lejeune along with the authoritarian, no-nonsense Chief Petty Officer Rock Reilly (Tom Berenger).",his,406,Eddie,421,True,Rock Reilly,559,False,http://en.wikipedia.org/wiki/Chasers
test-6,"The others were Adam Baldwin (Jayne Cobb in Firefly) who played Colonel Dave Dixon, and Morena Baccarin (Inara Serra in Firefly) who played Adria. Executive producer Martin Gero created the character of Jennifer Keller while writing ``First Strike''. The producers decided to cast Jewel Staite for the role as Keller after they enjoyed working with her previously as Ellia in ``Instinct''.",her,349,Jewel Staite,281,True,Keller,310,False,http://en.wikipedia.org/wiki/Jennifer_Keller
test-8,"The monster arrives and bites Jeni's tongue, but David manages to break free and releases the other three, though at the cost of his own life. The remaining trio head back to the cottage to set a trap to kill the monster, but the leprechaun tricks Sophie and Ben into striking Jeni with their axes, killing her.",her,307,Sophie,248,False,Jeni,277,True,http://en.wikipedia.org/wiki/Leprechaun:_Origins
test-11,"Taken in by S.H.I.E.L.D. she is under the direct supervision of its longtime executive director, Nick Fury, even after the latter's defection from the agency during the events of the ``Secret War'' series. She possesses a ``Level 10'' security clearance, the only known agent aside from Fury and the Black Widow (Natasha Romanova) to do so. In her most visible action, Johnson has helped to defeat the powerful mutant rebel leader Magneto by inducing a vibration in his brain that made him lose consciousness.",her,344,Natasha Romanova,313,False,Johnson,369,True,http://en.wikipedia.org/wiki/Daisy_Johnson
test-12,"Neither knows the truth about their respective pasts. When Dona Valeria finds out that Fernando Jose is in a relationship, she gets mad at her son for dating someone beneath their social status. Dolores and Rosalinda's sister, Fedra (Halili) also does not accept their relationship because she is also infatuated with Fernando Jose.",she,290,Dolores,195,False,Rosalinda,207,False,http://en.wikipedia.org/wiki/Rosalinda_(Philippines_TV_series)
test-14,"He left the Army in 1946. As the recipient of a Fellowship in Composition, Hanson after the war was able to resume his studies at the Conservatorium. Following a year of study with Alex Bernard, the Conservatorium offered Hanson a place on the staff which he accepted.",he,256,Alex Bernard,181,False,Hanson,222,True,http://en.wikipedia.org/wiki/Raymond_Hanson_(composer)
test-15,"Nicola Alexis is a British actress best known for playing the role of WPC Ruby Buxton in the long running ITV drama The Bill. She recently played the lead role in the theatre adaptation of Carl Hiaasen's Lucky You, which premiered at the Edinburgh Festival Fringe in 2008.",She,126,Nicola Alexis,0,True,WPC Ruby Buxton,70,False,http://en.wikipedia.org/wiki/Nicola_Alexis
test-17,"In the late 1970s, she toured in musical comedies including Sammy Cahn's Words and Music. After appearing with Mickey Rooney in the play Goodnight Ladies in Chicago, the producers cast Ann Jillian to appear in the original company of Sugar Babies on Broadway with Mickey Rooney and Ann Miller in 1979. She also starred in I Love My Wife at the Drury Lane Theatre in Chicago.",She,302,Ann Jillian,185,True,Ann Miller,282,False,http://en.wikipedia.org/wiki/Ann_Jillian
test-20,"Antonio di Filippo di Lorenzo Niccolini (Florence, 1701--1769) was an Italian abbot, jurist and scholar, who was considered one of the leading figures of eighteenth-century Tuscany. He was born into a noble Florentine family, the youngest child of Filippo, third Marquess of Ponsacco and Camugliano, and was a relative of the Pope.",He,182,Antonio di Filippo di Lorenzo Niccolini,0,True,Filippo,248,False,http://en.wikipedia.org/wiki/Antonio_Niccolini_(abbot)
test-21,"Rabelais traveled frequently to Rome with his friend Cardinal Jean du Bellay, and lived for a short time in Turin with du Bellay's brother, Guillaume, during which Fran*ois I was his patron. Rabelais probably spent some time in hiding, threatened by being labeled a heretic. Only the protection of du Bellay saved Rabelais after the condemnation of his novel by the Sorbonne.",his,349,du Bellay,298,False,Rabelais,314,True,http://en.wikipedia.org/wiki/Jean_du_Bellay
test-22,"The team spends some time in a beach-house on the West Coast, living with a semi-sentient housemaid defensive robot. There have been moments of friction as the rest of the team is still adjusting to Sarah's sexual orientation. For some time, Caitlin Fairchild had no idea Sarah was attracted to women, especially her, leading to at least one incident where Caitlin innocently changed clothing in front of her.",her,313,Caitlin Fairchild,242,True,Sarah,272,False,http://en.wikipedia.org/wiki/Sarah_Rainmaker
